employee_id,employee_name,gender,department,job_role,salary,performance_score,performance_rating,satisfaction_score,years_at_company,last_promotion_year,promotion_eligible,attrition_risk,hire_date,manager_id,location
83,Brian Brennan,Male,IT,IT Support,105229.65,1.43,Poor,2.79,3,2022,False,High,2022-12-16,1015,Los Angeles
84,Robert Stevens,Male,Finance,Audit Specialist,56706.05,2.29,Average,1.85,12,2019,False,High,2013-07-19,1017,Austin
85,Darren Johnson,Male,HR,Recruiter,87350.27,2.99,Average,1.35,15,2013,False,High,2011-08-24,1034,Atlanta
86,Sharon Rasmussen,Female,Engineering,ML Engineer,80206.42,2.14,Average,2.45,2,2023,False,High,2013-02-08,1045,Boston
87,James Zavala,Male,Engineering,Software Engineer,70602.75,1.9,Poor,2.46,16,2010,False,High,2017-06-23,1030,Atlanta
88,Brian Waller,Male,Engineering,DevOps Engineer,111960.91,2.64,Average,4.93,6,2018,False,Medium,2011-05-25,1020,Austin
89,Mr. Brian Hamilton,Male,Operations,Operations Analyst,64444.93,3.89,Good,4.28,2,2023,False,Low,2020-09-29,1011,Atlanta
90,Lisa Dixon,Female,Sales,Regional Lead,109254.36,1.75,Poor,2.29,19,2005,False,High,2014-11-28,1020,New York
91,Dawn Fletcher,Female,IT,System Administrator,111902.7,2.15,Average,3.32,11,2015,False,Medium,2008-05-22,1013,Chicago
92,Joshua Ball,Male,Operations,Logistics Coordinator,62256.08,3.19,Good,3.2,2,2021,False,Medium,2020-12-21,1040,San Francisco
93,Helen Jones,Female,Engineering,QA Engineer,70216.87,1.47,Poor,2.89,6,2023,False,High,2019-08-27,1035,New York
94,Erik Charles,Male,Operations,Process Engineer,92901.61,1.5,Poor,3.92,9,2015,False,Medium,2020-08-05,1012,Chicago
95,Eric Ortiz,Male,Engineering,ML Engineer,137346.3,1.56,Poor,4.18,14,2020,False,Medium,2015-03-15,1030,Chicago
96,Cameron Fisher,Male,Finance,Finance Manager,75033.8,3.54,Good,4.63,13,2019,False,Low,2024-05-06,1025,San Francisco
97,Stephanie Gilbert,Female,Legal,Paralegal,104928.12,3.16,Good,2.75,1,2022,False,Medium,2013-06-23,1017,New York
98,Aaron Mitchell,Male,IT,Network Engineer,106201.99,4.63,Excellent,3.5,19,2010,True,Low,2015-09-02,1006,Chicago
99,Matthew Marshall,Male,Sales,Sales Manager,52534.49,4.18,Excellent,3.48,20,2011,True,Medium,2015-11-17,1027,Austin
100,John Santana,Male,Operations,Operations Analyst,53703.32,1.99,Poor,3.98,4,2020,False,Medium,2021-11-22,1010,Seattle
101,Bradley Robertson,Male,Marketing,Marketing Analyst,52718.7,3.15,Good,2.52,13,2017,False,Medium,2019-02-13,1015,Atlanta
102,Robert Potter,Male,Finance,Audit Specialist,116391.47,3.88,Good,3.56,19,2008,False,Low,2019-10-19,1036,Miami
103,Curtis Johnson,Male,Sales,Regional Lead,114411.89,4.84,Excellent,2.37,6,2023,True,Medium,2012-07-10,1047,Miami
104,Sarah Jones,Female,Sales,Sales Analyst,122066.72,1.56,Poor,1.4,1,2022,False,High,2015-05-29,1040,Austin
105,Cheyenne Horton,Female,HR,Training Lead,95349.96,3.83,Good,1.61,9,2019,False,High,2016-10-06,1029,Atlanta
106,Matthew Smith,Male,Operations,Supply Chain Lead,62050.36,1.45,Poor,4.94,14,2012,False,Medium,2021-02-15,1023,Los Angeles
107,Brian Coleman,Male,IT,IT Support,110258.41,2.6,Average,1.22,9,2023,False,High,2011-05-09,1026,Los Angeles
108,Joseph Williams,Male,IT,Security Analyst,105678.63,4.68,Excellent,2.39,18,2006,True,Medium,2012-08-06,1027,New York
109,Joyce Solis,Female,Sales,BDR,80719.56,1.56,Poor,1.71,7,2019,False,High,2019-09-16,1006,Seattle
110,Linda Dodson DVM,Female,Engineering,Software Engineer,132439.66,2.11,Average,1.88,18,2021,False,High,2018-10-10,1007,New York
111,Kathy Rivas,Female,Engineering,Software Engineer,114584.43,4.44,Excellent,3.14,8,2015,True,Medium,2017-09-03,1007,New York
112,Natasha Wells,Female,Finance,Controller,72841.98,4.59,Excellent,1.82,17,2018,True,High,2012-10-07,1029,Atlanta
113,Mark Cannon,Male,Marketing,Marketing Analyst,103164.57,2.81,Average,3.1,17,2023,False,Medium,2017-03-22,1030,Boston
114,Donald Jones,Male,IT,Security Analyst,75463.89,4.45,Excellent,4.78,10,2022,True,Low,2013-03-21,1019,San Francisco
115,Emma Fernandez,Female,Engineering,ML Engineer,137183.11,4.47,Excellent,2.63,3,2023,True,Medium,2010-09-18,1023,Atlanta
116,Melissa Mccarthy,Female,Engineering,QA Engineer,84283.57,3.61,Good,1.95,2,2023,False,High,2009-06-14,1032,Atlanta
117,Kimberly Perry,Female,Legal,Paralegal,132011.95,4.78,Excellent,1.56,14,2023,True,High,2011-11-17,1048,San Francisco
118,Taylor Silva,Male,Marketing,Marketing Analyst,60591.47,1.11,Poor,1.73,4,2023,False,High,2020-03-08,1018,San Francisco
119,Ralph James,Male,IT,Cloud Architect,89054.47,2.04,Average,2.52,12,2014,False,High,2008-06-17,1005,Seattle
120,Nicole Castaneda,Female,Legal,Legal Counsel,89890.12,2.18,Average,4.79,12,2018,False,Medium,2024-07-26,1017,Miami
121,Nicole Payne,Female,Legal,Paralegal,126564.18,4.2,Excellent,2.7,19,2021,True,Medium,2018-08-13,1014,Los Angeles
122,Colleen Graham,Female,Marketing,Campaign Lead,75191.25,1.87,Poor,3.58,14,2012,False,Medium,2008-11-08,1026,Miami
123,Michael Powell,Male,Finance,Accountant,78146.12,1.07,Poor,4.66,10,2016,False,Medium,2011-03-02,1041,Boston
124,Bethany Dean,Female,Engineering,QA Engineer,122113.63,4.32,Excellent,1.83,10,2018,True,High,2008-10-26,1021,Los Angeles
125,Justin Johnson,Male,Operations,Supply Chain Lead,70844.79,3.4,Good,3.66,7,2017,False,Low,2019-04-15,1045,New York
126,Julia Williams,Female,Finance,Audit Specialist,120527.47,2.69,Average,2.42,11,2012,False,Medium,2014-10-21,1036,Chicago
127,Erin Juarez,Female,Finance,Finance Manager,126151.71,2.75,Average,4.66,7,2023,False,Medium,2014-10-21,1035,Boston
128,Sandra King,Female,IT,Cloud Architect,101119.17,2.08,Average,3.16,19,2007,False,Medium,2009-10-02,1043,New York
129,Kimberly Cooke,Female,Sales,Regional Lead,53920.49,3.49,Good,2.9,9,2022,False,Medium,2014-04-23,1040,New York
130,Richard Pearson,Male,Engineering,QA Engineer,125072.19,2.74,Average,1.99,3,2021,False,High,2021-03-08,1037,Chicago
131,Christina Smith,Female,Operations,Logistics Coordinator,41185.62,2.26,Average,4.23,17,2022,False,Medium,2010-12-14,1010,Los Angeles
132,Michael Elliott,Male,Engineering,ML Engineer,113352.08,4.49,Excellent,3.93,17,2010,True,Low,2012-01-25,1016,Boston
133,Pamela Jackson,Female,Engineering,Data Engineer,109154.0,1.88,Poor,4.95,13,2019,False,Medium,2018-09-07,1047,Miami
134,Ashley Weiss,Female,IT,System Administrator,75348.9,3.27,Good,4.66,14,2023,False,Low,2024-10-04,1007,Los Angeles
135,Alexander Collins,Male,Legal,Compliance Officer,88741.01,4.18,Excellent,3.98,20,2011,True,Low,2019-11-16,1035,San Francisco
136,James Espinoza,Male,Marketing,Marketing Analyst,93762.55,2.46,Average,3.24,13,2011,False,Medium,2009-08-26,1003,Seattle
137,Mark Garcia,Male,Legal,Compliance Officer,112981.34,1.26,Poor,2.26,17,2009,False,High,2021-06-29,1029,Boston
138,Kyle Martinez,Male,Finance,Accountant,99214.29,2.71,Average,4.51,2,2023,False,Medium,2025-01-31,1035,Miami
139,Hannah Patterson,Female,Operations,Supply Chain Lead,87482.1,3.12,Good,4.76,3,2022,False,Low,2014-08-29,1039,Austin
140,Glenn Atkinson,Male,Operations,Operations Analyst,59115.85,2.92,Average,3.51,12,2019,False,Medium,2022-05-04,1010,Los Angeles
141,Tyler Reid,Male,IT,Security Analyst,122694.5,1.96,Poor,1.44,14,2016,False,High,2022-06-13,1030,San Francisco
142,Jessica Gross,Female,Marketing,Campaign Lead,48156.99,1.07,Poor,4.95,9,2014,False,Medium,2024-10-09,1024,Austin
143,Rhonda Medina,Female,Sales,Sales Manager,111819.04,2.04,Average,3.35,7,2023,False,Medium,2016-07-31,1046,Atlanta
144,Nicholas Adams,Male,Operations,Operations Manager,94351.09,3.97,Good,1.26,8,2018,False,High,2022-11-03,1029,Boston
145,Brandon Keith,Male,Sales,Regional Lead,50830.49,1.19,Poor,2.54,9,2014,False,High,2012-07-04,1003,Atlanta
146,Lisa Gray,Female,Finance,Finance Manager,108531.12,1.87,Poor,3.07,20,2021,False,Medium,2008-11-06,1042,Chicago
147,Catherine Lewis,Female,Marketing,Marketing Analyst,56542.19,4.26,Excellent,1.9,15,2016,True,High,2021-12-03,1009,Austin
148,Shirley Haynes,Female,Finance,Accountant,93881.73,2.56,Average,2.09,9,2016,False,Medium,2013-01-21,1025,San Francisco
149,Tiffany Miller,Female,Marketing,Marketing Analyst,69678.85,4.73,Excellent,3.94,2,2023,False,Low,2020-08-07,1038,Atlanta
150,Peter Vaughn,Male,Finance,Accountant,100271.21,4.85,Excellent,1.44,5,2022,True,High,2019-05-05,1017,San Francisco
151,Rebecca Davis,Female,Finance,Finance Manager,132053.67,3.29,Good,3.65,8,2015,False,Low,2012-02-16,1006,Atlanta
152,Eric Perkins,Male,Legal,Contract Specialist,123046.54,4.47,Excellent,3.83,11,2020,True,Low,2016-05-28,1042,Austin
153,Jeffery Reese,Male,Sales,Sales Analyst,54274.46,4.52,Excellent,4.49,19,2014,True,Low,2013-12-25,1010,Seattle
154,Denise King,Female,IT,Network Engineer,129527.2,4.33,Excellent,3.03,7,2017,True,Medium,2010-05-31,1032,New York
155,Bryan Herrera,Male,Engineering,Data Engineer,120720.46,3.16,Good,4.12,6,2019,False,Low,2021-04-26,1030,Denver
156,Cindy Washington,Female,Engineering,Data Engineer,97349.77,3.53,Good,4.73,4,2022,False,Low,2020-09-04,1032,Austin
157,Kelly Campbell MD,Female,HR,HR Manager,49982.66,4.08,Excellent,3.83,1,2023,False,Low,2011-08-30,1026,Atlanta
158,Christopher Smith,Male,Marketing,Content Strategist,119261.13,3.7,Good,2.78,3,2023,False,Medium,2017-06-10,1012,Denver
159,William Tran,Male,Sales,Account Executive,69124.92,2.95,Average,4.08,2,2022,False,Medium,2020-03-20,1034,Austin
160,Sean Henry,Male,Sales,Regional Lead,116878.88,3.11,Good,4.3,11,2015,False,Low,2023-03-13,1032,San Francisco
161,John Alexander,Male,Operations,Process Engineer,74270.67,2.09,Average,4.8,12,2018,False,Medium,2011-06-30,1028,Seattle
162,Todd Woods,Male,Legal,Legal Analyst,106082.08,2.59,Average,2.1,3,2022,False,Medium,2022-05-03,1001,Miami
163,Angela Soto,Female,Operations,Logistics Coordinator,47786.28,1.12,Poor,3.61,12,2012,False,Medium,2009-04-09,1015,Atlanta
164,Kristine Torres,Female,Operations,Operations Analyst,87117.39,4.11,Excellent,4.08,14,2010,True,Low,2025-04-04,1007,Chicago
165,Phillip Obrien,Male,Legal,Contract Specialist,57602.09,4.68,Excellent,3.47,14,2023,True,Medium,2021-10-20,1025,Denver
166,Joseph Hayes,Male,Operations,Process Engineer,49852.4,3.23,Good,1.9,2,2023,False,High,2015-11-20,1013,New York
167,Wanda Torres,Female,Finance,Accountant,112838.81,2.58,Average,4.9,6,2019,False,Medium,2018-12-01,1045,Los Angeles
168,Patrick Meza,Male,HR,HR Generalist,42377.13,2.92,Average,1.42,17,2017,False,High,2011-11-23,1046,Boston
169,Mary Moore,Female,HR,Compensation Analyst,60760.99,4.1,Excellent,4.76,1,2023,False,Low,2011-04-26,1033,New York
170,Aaron Hayes,Male,Finance,Financial Analyst,125083.69,2.43,Average,2.29,6,2023,False,High,2018-06-15,1026,Miami
171,Crystal Mann,Female,IT,Network Engineer,63500.6,3.68,Good,4.81,3,2022,False,Low,2020-04-23,1006,Los Angeles
172,Melissa Bradshaw,Female,Engineering,Software Engineer,126724.84,4.48,Excellent,3.86,20,2019,True,Low,2021-10-02,1007,Austin
173,Mary Peck,Female,HR,Recruiter,87029.95,2.92,Average,1.16,10,2023,False,High,2015-08-03,1018,Boston
174,Maria Kerr,Female,IT,Security Analyst,73561.3,4.49,Excellent,1.88,14,2012,True,High,2022-05-31,1045,Atlanta
175,Christopher Parker,Male,IT,Cloud Architect,115990.16,2.99,Average,3.22,18,2023,False,Medium,2021-02-03,1022,Seattle
176,Donna Martinez,Female,Legal,Legal Counsel,94462.15,1.33,Poor,2.61,15,2008,False,High,2020-01-26,1007,New York
177,Terri Mason,Female,Finance,Accountant,118130.05,2.7,Average,2.38,12,2014,False,Medium,2016-10-02,1024,San Francisco
178,Andrew Reynolds,Male,Sales,Account Executive,79475.39,3.9,Good,2.95,2,2023,False,Medium,2013-11-03,1034,Austin
179,Anna Hayden,Female,IT,Network Engineer,144331.33,2.14,Average,2.44,3,2020,False,High,2022-07-28,1018,Atlanta
180,Trevor Key,Male,IT,System Administrator,71183.25,3.86,Good,4.64,10,2014,False,Low,2019-10-16,1037,Seattle
181,Amanda Avila,Female,Finance,Financial Analyst,76014.64,4.48,Excellent,2.78,7,2016,True,Medium,2016-05-11,1020,San Francisco
182,Thomas White,Male,Operations,Operations Analyst,58464.89,4.88,Excellent,2.03,5,2022,True,Medium,2018-04-24,1001,Atlanta
183,Katherine Davis,Female,Legal,Contract Specialist,132585.68,2.82,Average,1.94,3,2021,False,High,2014-04-11,1014,Miami
184,Michael Hodge,Male,Marketing,Brand Manager,107166.25,2.72,Average,1.99,11,2023,False,High,2013-12-19,1001,Los Angeles
185,Donna Landry,Female,Operations,Process Engineer,57761.52,3.42,Good,2.43,12,2015,False,Medium,2022-03-11,1049,New York
186,Jordan Edwards,Female,HR,Compensation Analyst,91852.97,3.23,Good,3.16,20,2022,False,Medium,2013-11-09,1014,San Francisco
187,Mr. Jose Travis,Male,IT,Cloud Architect,139611.48,1.16,Poor,1.49,6,2021,False,High,2019-07-17,1005,New York
188,Jason Lopez,Male,Sales,Sales Analyst,53350.89,4.95,Excellent,4.86,11,2013,True,Low,2014-07-06,1025,San Francisco
189,Mario Wolf,Male,Engineering,DevOps Engineer,109107.73,3.67,Good,1.56,13,2013,False,High,2011-10-27,1016,San Francisco
190,Tanya Kim,Female,HR,Recruiter,51300.95,3.92,Good,1.62,6,2021,False,High,2020-03-25,1047,Boston
191,William Lynch,Male,Marketing,Marketing Analyst,107858.65,4.78,Excellent,3.73,18,2022,True,Low,2012-06-05,1017,Miami
192,Krista Tran,Female,IT,System Administrator,62582.9,4.72,Excellent,3.76,1,2022,False,Low,2009-12-11,1019,Seattle
193,Susan Murray MD,Female,Finance,Financial Analyst,64060.41,3.63,Good,5.0,6,2023,False,Low,2022-07-04,1009,New York
194,Mitchell Hicks,Male,Engineering,QA Engineer,132590.84,3.27,Good,3.95,4,2020,False,Low,2013-01-03,1038,Austin
195,Veronica Sanchez,Female,Sales,Sales Manager,108605.66,4.19,Excellent,2.74,11,2012,True,Medium,2017-09-24,1024,Boston
196,Thomas Romero,Male,Engineering,QA Engineer,95966.87,2.47,Average,2.58,19,2005,False,High,2023-04-23,1049,New York
197,Donald Tyler,Male,HR,Recruiter,75223.7,1.67,Poor,3.57,2,2022,False,Medium,2015-06-01,1009,Chicago
198,Jordan Hoover,Male,Marketing,Content Strategist,80938.64,1.1,Poor,2.36,12,2015,False,High,2013-03-03,1034,Seattle
199,Kevin Duarte,Male,HR,Compensation Analyst,76474.31,4.06,Excellent,4.25,18,2016,True,Low,2016-09-07,1043,Seattle
200,Joshua Reed,Male,Sales,Regional Lead,120822.75,1.97,Poor,4.71,15,2011,False,Medium,2017-09-28,1021,Boston
201,Jesse Morris,Male,Marketing,Campaign Lead,91301.38,3.09,Good,3.68,15,2019,False,Low,2011-07-27,1035,Atlanta
202,Laura Hall,Female,Marketing,Brand Manager,98822.68,2.6,Average,4.91,11,2018,False,Medium,2021-07-18,1031,Miami
203,Patrick Thornton,Male,Finance,Financial Analyst,103221.54,2.03,Average,4.85,4,2019,False,Medium,2022-02-26,1044,Atlanta
204,Matthew Hoover,Male,Marketing,SEO Specialist,45193.8,3.55,Good,3.06,9,2023,False,Medium,2025-01-12,1009,Miami
205,Amanda Shaw,Female,Marketing,Marketing Analyst,107989.6,4.6,Excellent,2.41,5,2021,True,Medium,2018-05-24,1050,Atlanta
206,Shane Alexander,Male,HR,Compensation Analyst,80285.48,4.24,Excellent,4.07,10,2013,True,Low,2017-04-20,1050,Seattle
207,Nathan Ortiz,Male,Engineering,DevOps Engineer,139540.77,2.89,Average,3.14,16,2011,False,Medium,2019-06-29,1015,Chicago
208,Julie Costa,Female,IT,IT Support,79715.5,2.56,Average,3.38,2,2023,False,Medium,2014-02-12,1007,Seattle
